
REPORT DATE,12/19/13 23:42 EST
FILE SIZES TESTED (MB),1000
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
23:42:39,23:42:58,19,jtg-test4,129.74.246.249,1000,2048,WRITE,54.9,439.2
23:42:42,23:43:10,28,jtg-test3,129.74.246.249,1000,2048,WRITE,38.0,304.0
23:43:06,23:43:42,36,jtg-test1,129.74.246.249,1000,2048,WRITE,28.8,230.4
