
REPORT DATE,12/19/13 23:42 EST
FILE SIZES TESTED (MB),1000
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
23:42:39,23:42:58,19,jtg-test4,129.74.246.249,1000,2048,WRITE,54.9,439.2
23:42:42,23:43:10,28,jtg-test3,129.74.246.249,1000,2048,WRITE,38.0,304.0
23:43:06,23:43:42,36,jtg-test1,129.74.246.249,1000,2048,WRITE,28.8,230.4
,,,,,,,RESULT # 1,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

23:44:51,23:45:13,22,jtg-test4,129.74.246.249,1000,2048,WRITE,46.6,372.8
23:44:53,23:45:24,31,jtg-test3,129.74.246.249,1000,2048,WRITE,34.9,279.2
23:45:21,23:45:59,38,jtg-test1,129.74.246.249,1000,2048,WRITE,27.9,223.2
,,,,,,,RESULT # 2,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

23:47:07,23:47:27,20,jtg-test4,129.74.246.249,1000,2048,WRITE,52.7,421.6
23:47:10,23:47:32,22,jtg-test3,129.74.246.249,1000,2048,WRITE,47.4,379.2
23:47:37,23:48:13,36,jtg-test1,129.74.246.249,1000,2048,WRITE,29.0,232.0
,,,,,,,RESULT # 3,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

23:49:22,23:49:42,20,jtg-test4,129.74.246.249,1000,2048,WRITE,52.3,418.4
23:49:24,23:49:55,31,jtg-test3,129.74.246.249,1000,2048,WRITE,33.5,268.0
23:49:50,23:50:27,37,jtg-test1,129.74.246.249,1000,2048,WRITE,28.1,224.8
,,,,,,,RESULT # 4,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

23:51:35,23:51:56,21,jtg-test4,129.74.246.249,1000,2048,WRITE,50.4,403.2
23:51:37,23:52:10,33,jtg-test3,129.74.246.249,1000,2048,WRITE,32.0,256.0
23:52:05,23:52:41,36,jtg-test1,129.74.246.249,1000,2048,WRITE,28.7,229.6
,,,,,,,RESULT # 5,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

23:53:52,23:54:09,17,jtg-test3,129.74.246.249,1000,2048,WRITE,61.7,493.6
23:53:49,23:54:15,26,jtg-test4,129.74.246.249,1000,2048,WRITE,42.0,336.0
23:54:23,23:55:02,39,jtg-test1,129.74.246.249,1000,2048,WRITE,27.0,216.0
,,,,,,,RESULT # 6,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

23:56:10,23:56:30,20,jtg-test4,129.74.246.249,1000,2048,WRITE,54.2,433.6
23:56:12,23:56:44,32,jtg-test3,129.74.246.249,1000,2048,WRITE,33.4,267.2
23:56:38,23:57:14,36,jtg-test1,129.74.246.249,1000,2048,WRITE,28.8,230.4
,,,,,,,RESULT # 7,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

23:58:25,23:58:39,14,jtg-test3,129.74.246.249,1000,2048,WRITE,77.0,616.0
23:58:23,23:58:52,29,jtg-test4,129.74.246.249,1000,2048,WRITE,36.0,288.0
23:59:00,23:59:38,38,jtg-test1,129.74.246.249,1000,2048,WRITE,27.8,222.4
,,,,,,,RESULT # 8,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-2,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

00:00:46,00:01:07,21,jtg-test4,129.74.246.249,1000,2048,WRITE,51.3,410.4
00:00:49,00:01:12,23,jtg-test3,129.74.246.249,1000,2048,WRITE,46.4,371.2
00:01:16,00:01:55,39,jtg-test1,129.74.246.249,1000,2048,WRITE,27.6,220.8
