
REPORT DATE,12/19/13 18:35 EST
FILE SIZES TESTED (MB),500
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
18:35:42,18:35:49,7,jtg-test3,129.74.246.249,500,2048,WRITE,86.8,694.4
18:36:56,18:37:06,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.5,428.0
23:37:34,23:37:53,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.9,223.2
,,,,,,,RESULT # ,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:43:32,18:43:42,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.2,425.6
18:43:34,18:43:49,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.7,285.6
23:44:01,23:44:23,22,jtg-test1,129.74.246.249,500,2048,WRITE,23.7,189.6
,,,,,,,RESULT # 1,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:44:54,18:45:04,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.1,424.8
18:44:56,18:45:14,18,jtg-test3,129.74.246.249,500,2048,WRITE,28.4,227.2
23:45:23,23:45:42,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.3,226.4
,,,,,,,RESULT # 2,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:46:12,18:46:22,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.8,406.4
18:46:14,18:46:25,11,jtg-test3,129.74.246.249,500,2048,WRITE,46.3,370.4
23:46:41,23:47:00,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.6,228.8
,,,,,,,RESULT # 3,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:47:30,18:47:41,11,jtg-test4,129.74.246.249,500,2048,WRITE,47.1,376.8
18:47:32,18:47:49,17,jtg-test3,129.74.246.249,500,2048,WRITE,30.7,245.6
23:48:00,23:48:20,20,jtg-test1,129.74.246.249,500,2048,WRITE,26.1,208.8
,,,,,,,RESULT # 4,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:48:51,18:49:01,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.5,404.0
18:48:53,18:49:05,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.8,358.4
23:49:21,23:49:39,18,jtg-test1,129.74.246.249,500,2048,WRITE,28.2,225.6
,,,,,,,RESULT # 5,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:50:09,18:50:21,12,jtg-test4,129.74.246.249,500,2048,WRITE,47.7,381.6
18:50:12,18:50:31,19,jtg-test3,129.74.246.249,500,2048,WRITE,27.1,216.8
23:50:39,23:50:58,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.6,228.8
,,,,,,,RESULT # 6,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:51:28,18:51:38,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.1,408.8
18:51:30,18:51:43,13,jtg-test3,129.74.246.249,500,2048,WRITE,40.7,325.6
23:51:58,23:52:17,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.8,222.4
,,,,,,,RESULT # 7,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:52:47,18:52:58,11,jtg-test4,129.74.246.249,500,2048,WRITE,46.6,372.8
18:52:49,18:53:01,12,jtg-test3,129.74.246.249,500,2048,WRITE,43.0,344.0
23:53:18,23:53:36,18,jtg-test1,129.74.246.249,500,2048,WRITE,27.9,223.2
,,,,,,,RESULT # 8,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:54:07,18:54:17,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.0,424.0
18:54:08,18:54:20,12,jtg-test3,129.74.246.249,500,2048,WRITE,45.2,361.6
23:54:36,23:54:55,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.3,218.4
,,,,,,,RESULT # 9,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:55:27,18:55:36,9,jtg-test3,129.74.246.249,500,2048,WRITE,62.9,503.2
18:55:25,18:55:40,15,jtg-test4,129.74.246.249,500,2048,WRITE,35.0,280.0
23:55:59,23:56:18,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.2,225.6
,,,,,,,RESULT # 10,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:56:48,18:56:58,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.7,413.6
18:56:50,18:57:02,12,jtg-test3,129.74.246.249,500,2048,WRITE,45.0,360.0
23:57:17,23:57:37,20,jtg-test1,129.74.246.249,500,2048,WRITE,27.0,216.0
,,,,,,,RESULT # 11,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:58:09,18:58:18,9,jtg-test3,129.74.246.249,500,2048,WRITE,58.4,467.2
18:58:07,18:58:24,17,jtg-test4,129.74.246.249,500,2048,WRITE,30.8,246.4
23:58:43,23:59:02,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.9,223.2
,,,,,,,RESULT # 12,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

18:59:32,18:59:42,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.8,414.4
18:59:34,18:59:45,11,jtg-test3,129.74.246.249,500,2048,WRITE,47.0,376.0
00:00:01,00:00:21,20,jtg-test1,129.74.246.249,500,2048,WRITE,27.2,217.6
,,,,,,,RESULT # 13,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:00:51,19:01:01,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.9,407.2
19:00:53,19:01:05,12,jtg-test3,129.74.246.249,500,2048,WRITE,45.5,364.0
00:01:21,00:01:40,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.5,220.0
,,,,,,,RESULT # 14,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:02:10,19:02:20,10,jtg-test4,129.74.246.249,500,2048,WRITE,49.8,398.4
19:02:12,19:02:27,15,jtg-test3,129.74.246.249,500,2048,WRITE,34.8,278.4
00:02:39,00:02:57,18,jtg-test1,129.74.246.249,500,2048,WRITE,29.1,232.8
,,,,,,,RESULT # 15,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:03:27,19:03:38,11,jtg-test4,129.74.246.249,500,2048,WRITE,48.4,387.2
19:03:31,19:03:42,11,jtg-test3,129.74.246.249,500,2048,WRITE,48.2,385.6
00:03:58,00:04:18,20,jtg-test1,129.74.246.249,500,2048,WRITE,26.2,209.6
,,,,,,,RESULT # 16,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:04:48,19:04:58,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.9,423.2
19:04:51,19:05:06,15,jtg-test3,129.74.246.249,500,2048,WRITE,34.8,278.4
00:05:17,00:05:37,20,jtg-test1,129.74.246.249,500,2048,WRITE,27.5,220.0
,,,,,,,RESULT # 17,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:06:07,19:06:17,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.0,416.0
19:06:09,19:06:27,18,jtg-test3,129.74.246.249,500,2048,WRITE,28.7,229.6
00:06:36,00:06:56,20,jtg-test1,129.74.246.249,500,2048,WRITE,25.4,203.2
,,,,,,,RESULT # 18,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:07:26,19:07:37,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.5,412.0
19:07:29,19:07:40,11,jtg-test3,129.74.246.249,500,2048,WRITE,48.3,386.4
00:07:56,00:08:16,20,jtg-test1,129.74.246.249,500,2048,WRITE,26.1,208.8
,,,,,,,RESULT # 19,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:08:46,19:08:57,11,jtg-test4,129.74.246.249,500,2048,WRITE,49.7,397.6
19:08:48,19:09:00,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.8,358.4
00:09:16,00:09:34,18,jtg-test1,129.74.246.249,500,2048,WRITE,28.7,229.6
,,,,,,,RESULT # 20,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:10:04,19:10:15,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.0,408.0
19:10:07,19:10:25,18,jtg-test3,129.74.246.249,500,2048,WRITE,29.3,234.4
00:10:34,00:10:51,17,jtg-test1,129.74.246.249,500,2048,WRITE,29.9,239.2
,,,,,,,RESULT # 21,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:11:21,19:11:32,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.4,411.2
