
REPORT DATE,12/18/13 01:34 EST
FILE SIZES TESTED (MB),500
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)

01:34:36,01:34:39,01:34:46,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.3,426.4
01:34:51,12,jtg-test3,129.74.246.249,500,2048,WRITE,45.0,360.0
END TEST 1

01:38:16,01:38:18,01:38:26,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.6,428.8
01:38:38,20,jtg-test3,129.74.246.249,500,2048,WRITE,27.4,219.2
END TEST 2

01:46:09,01:46:19,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.8,414.4
01:46:11,01:46:23,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.7,357.6
END TEST 3

01:49:41,01:49:53,12,jtg-test4,129.74.246.249,500,2048,WRITE,47.4,379.2
01:49:44,01:49:59,15,jtg-test3,129.74.246.249,500,2048,WRITE,34.8,278.4
END TEST 4

01:52:37,01:52:47,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.1,416.8
01:52:39,01:52:54,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.5,284.0
END TEST 5

01:53:09,01:53:19,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.9,415.2
01:53:11,01:53:26,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.2,281.6
END TEST 5

01:53:41,01:53:51,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.7,421.6
01:53:43,01:53:57,14,jtg-test3,129.74.246.249,500,2048,WRITE,39.3,314.4
END TEST 5

01:54:13,01:54:24,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.1,408.8
01:54:16,01:54:28,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.1,352.8
END TEST 5

01:54:46,01:54:56,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.0,408.0
01:54:48,01:55:11,23,jtg-test3,129.74.246.249,500,2048,WRITE,22.8,182.4
END TEST 5

01:55:18,01:55:20,01:55:28,8,jtg-test3,129.74.246.249,500,2048,WRITE,67.6,540.8
01:55:34,16,jtg-test4,129.74.246.249,500,2048,WRITE,33.2,265.6
END TEST 5

01:55:56,01:56:07,11,jtg-test4,129.74.246.249,500,2048,WRITE,50.0,400.0
01:55:59,01:56:10,11,jtg-test3,129.74.246.249,500,2048,WRITE,49.1,392.8
END TEST 5

01:56:29,01:56:39,10,jtg-test4,129.74.246.249,500,2048,WRITE,55.9,447.2
01:56:32,01:56:49,17,jtg-test3,129.74.246.249,500,2048,WRITE,30.7,245.6
END TEST 5

01:57:01,01:57:12,11,jtg-test4,129.74.246.249,500,2048,WRITE,50.5,404.0
01:57:03,01:57:25,22,jtg-test3,129.74.246.249,500,2048,WRITE,24.2,193.6
END TEST 5

01:57:34,01:57:44,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.2,417.6
01:57:36,01:57:51,15,jtg-test3,129.74.246.249,500,2048,WRITE,35.0,280.0
END TEST 5

01:58:06,01:58:16,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.7,405.6
01:58:08,01:58:20,12,jtg-test3,129.74.246.249,500,2048,WRITE,43.5,348.0
END TEST 5

01:58:38,01:58:48,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.4,427.2
01:58:40,01:58:53,13,jtg-test3,129.74.246.249,500,2048,WRITE,43.7,349.6
END TEST 5

01:59:10,01:59:20,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.5,428.0
01:59:13,01:59:31,18,jtg-test3,129.74.246.249,500,2048,WRITE,28.6,228.8
END TEST 5

